what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445145999859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146000979
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146063352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146063492
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146131602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146140963
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445146185383
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445146186703
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445146207584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146219594
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146219664
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445146229485
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146232795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146232935
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146295857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146304257
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445146304417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146306127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146318067
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445146318257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146353058
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146359818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146471271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146471361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146559825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146564375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146571116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146620257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146651148
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146674849
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445146675919
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146678539
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146680409
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445146680569
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445146680609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146714902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146736623
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445146736753
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445146738373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146806263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146806393
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445146850334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1445146855674
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1445146856164
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1445146856204
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1445146856334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1445146856524
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1445146856704
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146863094
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146863234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146899305
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445146899805
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445146906825
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445146919566
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445146923236
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445146925026
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1445146930256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147015678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147019988
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147022928
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147045314
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147067743
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147068592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147069584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147069687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147070869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147071083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147078355
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147081877
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147137508
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147143770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147175060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147228951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147442325
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147442465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1445147459645
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1445147460275
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147491336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147491466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147551409
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147583841
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147591871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147682374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147683924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147691534
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147797686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147816128
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147842319
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147848738
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445147850069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147898921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445147901051
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445147964772
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445147974252
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445147976022
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445148141134
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445148159274
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445148161094
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1445148162704
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1445148163204
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1445148164184
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1445148165384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445148243387
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445148262358
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445148266008
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445148529905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445148532365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445148595826
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445148595986
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1445148597206
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445148925950
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445148926040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445148988621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445148988811
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1445149085102
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1445149087622
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1445149090712
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.indent",1445149091292
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445149098262
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445149107952
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1445149110022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445149121092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445149121242
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1445149141562
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.indent",1445149141922
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1445149404225
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.indent",1445149404705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445149448356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445149461206
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445149469436
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445149470296
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445149471886
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445149476176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445149478567
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445149478667
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445149478707
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1445149481728
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445149527620
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445149535040
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445149565500
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445149566970
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445149606830
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1445149609180
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445149609200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445149609640
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1445149610130
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1445149610180
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445149613522
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1445149615792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445149615812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445149616262
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1445149616723
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445149618083
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445149620063
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445149621573
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1445149636943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445149636963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445149637603
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445149642713
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1445149644493
