what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1445150590882
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150595152
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1445150597082
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1445150600326
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150603138
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150609119
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150613120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1445150617770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1445150618520
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1445150629170
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150629200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150629610
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1445150630074
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150632658
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150661698
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150664128
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150690178
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150700508
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150704418
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150704418
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150705678
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150707158
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150707158
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150709118
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445150720788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150724229
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150730569
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150730819
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150730849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150744249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150744369
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150799579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150810079
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445150823499
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150831290
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150834300
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445150839021
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150840011
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445150856631
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150858211
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150860691
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150860851
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445150860881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150923432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150937875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150951895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150951925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150968495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150968645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445150999065
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445151026866
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445151036346
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445151046996
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445151083456
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445151083666
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445151083696
